StateName,DistName,Year,"total economic contribution"
Maharashtra,Thane,2008,703493
Maharashtra,Raigad,2008,256674
Maharashtra,Ratnagiri,2008,86829
Maharashtra,Nasik,2008,220507
Maharashtra,Dhule,2008,63009
Maharashtra,Jalgaon,2008,152226
Maharashtra,Ahmednagar,2008,179426
Maharashtra,Pune,2008,837041
Maharashtra,Satara,2008,121945
Maharashtra,Sangli,2008,110754
Maharashtra,Solapur,2008,177686
Maharashtra,Kolhapur,2008,205655
Maharashtra,Aurangabad,2008,178440
Maharashtra,Parbhani,2008,56740
Maharashtra,Beed,2008,93486
Maharashtra,Nanded,2008,89209
Maharashtra,Osmanabad,2008,62873
Maharashtra,Buldhana,2008,60081
Maharashtra,Akola,2008,47278
Maharashtra,Amarawati,2008,76492
Maharashtra,Yeotmal,2008,71852
Maharashtra,Wardha,2008,47476
Maharashtra,Nagpur,2008,293563
Maharashtra,Bhandara,2008,36962
Maharashtra,Chandrapur,2008,86771
