DistName,StateName,Year,TotalConstantPrices(inMillionsRs),Ranks
Pune,Maharashtra,2008,682634,1
Thane,Maharashtra,2008,565591,2
Nagpur,Maharashtra,2008,237178,3
Raigad,Maharashtra,2008,203229,4
Nasik,Maharashtra,2008,175882,5
Kolhapur,Maharashtra,2008,159458,6
Ahmednagar,Maharashtra,2008,140185,7
Aurangabad,Maharashtra,2008,140183,8
Solapur,Maharashtra,2008,137981,9
Jalgaon,Maharashtra,2008,117907,10
Satara,Maharashtra,2008,95240,11
Sangli,Maharashtra,2008,86433,12
Beed,Maharashtra,2008,71961,13
Nanded,Maharashtra,2008,69816,14
Ratnagiri,Maharashtra,2008,69413,15
Chandrapur,Maharashtra,2008,67879,16
Amarawati,Maharashtra,2008,60335,17
Yeotmal,Maharashtra,2008,55665,18
Dhule,Maharashtra,2008,49004,19
Osmanabad,Maharashtra,2008,48162,20
Buldhana,Maharashtra,2008,46575,21
Parbhani,Maharashtra,2008,43790,22
Akola,Maharashtra,2008,37402,23
Wardha,Maharashtra,2008,37293,24
Bhandara,Maharashtra,2008,29013,25
