DistName,"secondary sector contribution percentage"
Thane,25.7541
Thane,23.9744
Thane,22.5062
Thane,21.5511
Thane,21.6002
Thane,20.9015
Thane,20.2228
Raigad,48.2047
Raigad,48.8043
Raigad,45.6938
Raigad,42.8391
Raigad,42.4859
Raigad,41.4498
Raigad,40.2487
Ratnagiri,34.8876
Ratnagiri,35.9845
Ratnagiri,35.8012
Ratnagiri,34.8167
Ratnagiri,32.3520
Ratnagiri,34.7177
Ratnagiri,34.8471
Nasik,27.5814
Nasik,28.0390
Nasik,27.6367
Nasik,27.7144
Nasik,28.0739
Nasik,29.1938
Nasik,29.3801
Dhule,23.9822
Dhule,24.6949
Dhule,22.4006
Dhule,21.5094
Dhule,20.9634
Dhule,21.9213
Dhule,21.9334
Jalgaon,25.1758
Jalgaon,26.4699
Jalgaon,25.0410
Jalgaon,21.9643
Jalgaon,23.3988
Jalgaon,24.4852
Jalgaon,24.2371
Ahmednagar,19.2088
Ahmednagar,19.2007
Ahmednagar,18.2780
Ahmednagar,17.8065
Ahmednagar,19.9865
Ahmednagar,20.4939
Ahmednagar,21.3600
Pune,33.9501
Pune,32.2074
Pune,30.7750
Pune,30.0599
Pune,30.8306
Pune,30.1377
Pune,29.5506
Satara,21.2671
Satara,21.7770
Satara,20.6713
Satara,19.7182
Satara,20.8711
Satara,21.2022
Satara,21.3078
Sangli,24.0486
Sangli,24.5878
Sangli,22.9766
Sangli,22.4941
Sangli,22.7974
Sangli,23.6914
Sangli,23.5258
Solapur,20.6441
Solapur,20.7034
Solapur,18.7548
Solapur,18.4271
Solapur,18.4586
Solapur,19.0527
Solapur,18.7197
Kolhapur,28.1718
Kolhapur,28.5998
Kolhapur,27.0531
Kolhapur,23.9212
Kolhapur,24.3083
Kolhapur,24.8047
Kolhapur,24.2871
Aurangabad,31.1573
Aurangabad,30.6372
Aurangabad,28.9062
Aurangabad,26.7825
Aurangabad,26.8474
Aurangabad,26.9014
Aurangabad,26.2881
Parbhani,16.5347
Parbhani,18.0067
Parbhani,17.1464
Parbhani,14.8793
Parbhani,16.0222
Parbhani,17.2551
Parbhani,17.1716
Beed,15.4915
Beed,15.9746
Beed,14.9820
Beed,13.5303
Beed,14.9736
Beed,15.5936
Beed,16.2772
Nanded,18.3927
Nanded,19.4072
Nanded,18.6095
Nanded,17.5464
Nanded,18.7654
Nanded,19.6602
Nanded,19.5890
Osmanabad,13.3529
Osmanabad,13.4318
Osmanabad,12.3951
Osmanabad,10.9591
Osmanabad,10.8289
Osmanabad,11.4969
Osmanabad,10.9377
Buldhana,14.3775
Buldhana,15.7621
Buldhana,14.3815
Buldhana,13.5284
Buldhana,15.4107
Buldhana,16.7955
Buldhana,17.0265
Akola,23.1289
Akola,24.6499
Akola,23.5478
Akola,23.0633
Akola,26.6776
Akola,28.7488
Akola,29.4566
Amarawati,20.2409
Amarawati,21.6807
Amarawati,21.1717
Amarawati,21.1701
Amarawati,22.6205
Amarawati,24.7030
Amarawati,25.2975
Yeotmal,17.3079
Yeotmal,19.3272
Yeotmal,17.9462
Yeotmal,17.3336
Yeotmal,18.8459
Yeotmal,20.6267
Yeotmal,21.9088
Wardha,26.3310
Wardha,28.4775
Wardha,27.7372
Wardha,28.7867
Wardha,29.1099
Wardha,31.1251
Wardha,31.8714
Nagpur,35.0535
Nagpur,34.2996
Nagpur,33.1518
Nagpur,33.2141
Nagpur,35.7059
Nagpur,36.3013
Nagpur,36.1872
Bhandara,34.3228
Bhandara,36.5700
Bhandara,36.6140
Bhandara,35.9663
Bhandara,35.2074
Bhandara,38.4122
Bhandara,38.0655
Chandrapur,28.0521
Chandrapur,29.7461
Chandrapur,29.1912
Chandrapur,27.7211
Chandrapur,27.0626
Chandrapur,28.5570
Chandrapur,29.8132
