DistName,Year,TERTIARYSECTORCONSTANTSHARES(Percent),SECONDARYSECTORCONSTANTSHARES(Percent)
Thane,2008,73.13,23.79
Ratnagiri,2008,44.68,36.71
Nasik,2008,61.69,28.08
Dhule,2008,54.67,25.47
Jalgaon,2008,46.19,27.45
Ahmednagar,2008,60.99,19.66
Pune,2008,64.05,31.37
Satara,2008,55.12,22.39
Sangli,2008,49.48,25.2
Solapur,2008,56.59,21.31
Kolhapur,2008,44.37,29.41
Aurangabad,2008,52.03,31.06
Parbhani,2008,54.71,18.73
Beed,2008,54.42,16.65
Nanded,2008,60.85,19.9
Osmanabad,2008,52.95,14.11
Buldhana,2008,56.3,16.47
Akola,2008,60.94,25.09
Amarawati,2008,59.11,22.2
Yeotmal,2008,51.51,19.87
Wardha,2008,52.13,29.14
Nagpur,2008,62.3,33.78
Bhandara,2008,43.13,37.04
Chandrapur,2008,51.63,29.75
